Date,AAPL,MSFT,TSLA,GOOG,AMZN
2020-01-02,72.53849792480469,94.90049743652344,67.90381622314453,152.79110717773438,28.68400001525879
2020-01-03,71.83329772949219,93.74849700927734,67.5705795288086,150.8885955810547,29.534000396728516
2020-01-06,72.40567016601562,95.14399719238281,69.23670196533203,151.2786407470703,30.1026668548584
2020-01-07,72.06515502929688,95.34300231933594,69.19349670410156,149.89926147460938,31.270666122436523
2020-01-08,73.22441101074219,94.59850311279297,69.73876953125,152.28695678710938,32.80933380126953
2020-01-09,74.77976989746094,95.05249786376953,70.50897979736328,154.18946838378906,32.089332580566406
2020-01-10,74.94881439208984,94.15799713134766,71.0006332397461,153.4759979248047,31.876667022705078
2020-01-13,76.55004119873047,94.56500244140625,71.47239685058594,155.32150268554688,34.990665435791016
2020-01-14,75.51634979248047,93.47200012207031,71.05773162841797,154.22750854492188,35.861331939697266
2020-01-15,75.19273376464844,93.10099792480469,71.47090911865234,155.22634887695312,34.56666564941406
2020-01-16,76.13465881347656,93.89700317382812,72.09165954589844,158.0706329345703,34.232666015625
2020-01-17,76.9775161743164,93.23600006103516,73.51641082763672,158.9552459716797,34.03333282470703
2020-01-21,76.45586395263672,94.5999984741211,73.71554565429688,158.3844757080078,36.47999954223633
2020-01-22,76.72875213623047,94.37300109863281,73.79251861572266,157.62347412109375,37.97066879272461
2020-01-23,77.09829711914062,94.22899627685547,73.82728576660156,158.59381103515625,38.14666748046875
2020-01-24,76.87610626220703,93.08200073242188,72.8370590209961,156.9956512451172,37.654666900634766
2020-01-27,74.61553192138672,91.41699981689453,71.20770263671875,154.3701934814453,37.201332092285156
2020-01-28,76.72634887695312,92.6624984741211,72.1343765258789,157.39523315429688,37.793331146240234
2020-01-29,78.33240509033203,92.9000015258789,72.43579864501953,159.84945678710938,38.732666015625
2020-01-30,78.2188949584961,93.53399658203125,72.2972412109375,164.3584442138672,42.72066879272461
2020-01-31,74.75077819824219,100.43599700927734,71.22409057617188,161.93272399902344,43.371334075927734
2020-02-03,74.54548645019531,100.20999908447266,73.7920150756836,165.88043212890625,52.0
2020-02-04,77.00652313232422,102.4834976196289,71.86172485351562,171.34066772460938,59.137332916259766
2020-02-05,77.63444519042969,101.99349975585938,71.91934204101562,171.13136291503906,48.97999954223633
2020-02-06,78.54253387451172,102.5114974975586,73.30982971191406,174.6795196533203,49.930667877197266
2020-02-07,77.47491455078125,103.96399688720703,73.45880889892578,174.92689514160156,49.871334075927734
2020-02-10,77.8428955078125,106.69550323486328,74.92129516601562,179.50247192382812,51.41866683959961
2020-02-11,77.3732681274414,107.54000091552734,74.9267578125,175.4501190185547,51.62533187866211
2020-02-12,79.21070098876953,108.0,75.39752960205078,175.7069549560547,51.15266799926758
2020-02-13,78.64662170410156,107.49349975585938,75.21826171875,174.75567626953125,53.599998474121094
2020-02-14,78.66600799560547,106.74349975585938,75.52020263671875,176.31578063964844,53.33533477783203
2020-02-18,77.22557067871094,107.78350067138672,75.46705627441406,178.10409545898438,57.22666549682617
2020-02-19,78.34403228759766,108.51100158691406,75.815673828125,178.6383056640625,61.16133117675781
2020-02-20,77.54029846191406,107.65499877929688,75.3915786743164,175.91024780273438,59.96066665649414
2020-02-21,75.78515625,104.79850006103516,73.75080108642578,170.34925842285156,60.06666564941406
2020-02-24,72.18534088134766,100.4645004272461,70.59638977050781,163.00454711914062,55.58599853515625
2020-02-25,69.74027252197266,98.63700103759766,68.95065307617188,160.31468200683594,53.32733154296875
2020-02-26,70.84659576416016,98.97949981689453,69.185546875,162.3177947998047,51.91999816894531
2020-02-27,66.21549987792969,94.21499633789062,65.4565658569336,150.88104248046875,45.266666412353516
2020-02-28,66.1767578125,94.1875,66.51134490966797,154.53431701660156,44.53266525268555
2020-03-02,72.33786010742188,97.69750213623047,68.98343658447266,164.81686401367188,49.574668884277344
2020-03-03,70.04046630859375,95.44950103759766,66.61365509033203,156.9189910888672,49.70066833496094
2020-03-04,73.28926086425781,98.79149627685547,68.85481262207031,162.6802520751953,49.96666717529297
2020-03-05,70.91197204589844,96.20149993896484,65.50374603271484,158.5977325439453,48.30266571044922
2020-03-06,69.97024536132812,95.05449676513672,64.47924041748047,154.1146240234375,46.89866638183594
2020-03-09,64.43616485595703,90.03050231933594,60.364906311035156,143.66986083984375,40.53333282470703
2020-03-10,69.07695770263672,94.59100341796875,63.584373474121094,153.49459838867188,43.02199935913086
2020-03-11,66.6778793334961,91.04299926757812,60.357460021972656,146.54098510742188,42.28200149536133
2020-03-12,60.09312057495117,83.83049774169922,55.36661148071289,132.64332580566406,37.369998931884766
2020-03-13,67.29278564453125,89.25,60.571990966796875,151.50103759765625,36.44133377075195
2020-03-16,58.63576126098633,84.4574966430664,53.84800338745117,129.17127990722656,29.67133331298828
2020-03-17,61.213985443115234,90.39199829101562,55.60945129394531,139.8068084716797,28.68000030517578
2020-03-18,59.71547317504883,91.5,54.46726608276367,133.92144775390625,24.08133316040039
2020-03-19,59.25792694091797,94.04650115966797,55.3854866027832,136.12490844726562,28.50933265686035
2020-03-20,55.495887756347656,92.30449676513672,53.251590728759766,131.01220703125,28.50200080871582
2020-03-23,54.31693649291992,95.1415023803711,52.471920013427734,129.70541381835938,28.952667236328125
2020-03-24,59.766300201416016,97.00499725341797,56.33746337890625,141.4951171875,33.66666793823242
2020-03-25,59.43706512451172,94.29199981689453,54.74983215332031,140.14059448242188,35.95000076293945
2020-03-26,62.564823150634766,97.77449798583984,57.69269561767578,148.90655517578125,35.21066665649414
