Date,AAPL,MSFT,GOOG,AMZN,TSLA
2023-01-03,123.33065032958984,85.81999969482422,89.09032440185547,234.42355346679688,108.0999984741211
2023-01-04,124.60270690917969,85.13999938964844,88.1070556640625,224.16915893554688,113.63999938964844
2023-01-05,123.28134155273438,83.12000274658203,86.18023681640625,217.5252685546875,110.33999633789062
2023-01-06,127.8173599243164,86.08000183105469,87.56079864501953,220.0888671875,113.05999755859375
2023-01-09,128.33998107910156,87.36000061035156,88.19644927978516,222.2317657470703,119.7699966430664
2023-01-10,128.91192626953125,89.87000274658203,88.6334457397461,223.92449951171875,118.8499984741211
2023-01-11,131.633544921875,95.08999633789062,91.6329345703125,230.6956024169922,123.22000122070312
2023-01-12,131.55467224121094,95.2699966430664,91.28530883789062,233.37657165527344,123.55999755859375
2023-01-13,132.88587951660156,98.12000274658203,92.16926574707031,234.08111572265625,122.4000015258789
2023-01-17,134.04945373535156,96.05000305175781,91.53361511230469,235.177001953125,131.49000549316406
2023-01-18,133.32965087890625,95.45999908447266,91.15619659423828,230.73472595214844,128.77999877929688
2023-01-19,133.38882446289062,93.68000030517578,93.27172088623047,226.938232421875,127.16999816894531
2023-01-20,135.95262145996094,97.25,98.60521697998047,235.0498046875,133.4199981689453
2023-01-23,139.14759826660156,97.5199966430664,100.52210235595703,237.35899353027344,143.75
2023-01-24,140.54783630371094,96.31999969482422,98.53569030761719,236.8306121826172,143.88999938964844
2023-01-25,139.8871307373047,97.18000030517578,96.07255554199219,235.43141174316406,144.42999267578125
2023-01-26,141.9579620361328,99.22000122070312,98.48603820800781,242.66236877441406,160.27000427246094
2023-01-27,143.90052795410156,102.23999786376953,100.02549743652344,242.8188934326172,177.89999389648438
2023-01-30,141.0112762451172,100.55000305175781,97.28424835205078,237.48622131347656,166.66000366210938
2023-01-31,142.28334045410156,103.12999725341797,99.19122314453125,242.47647094726562,173.22000122070312
2023-02-01,143.40748596191406,105.1500015258789,100.7406005859375,247.31011962890625,181.41000366210938
2023-02-02,148.7225341796875,112.91000366210938,108.0605239868164,258.905029296875,188.27000427246094
2023-02-03,152.3513946533203,103.38999938964844,104.50485229492188,252.7895965576172,189.97999572753906
2023-02-06,149.619873046875,102.18000030517578,102.7667465209961,251.2435760498047,194.75999450683594
2023-02-07,152.499267578125,102.11000061035156,107.3056869506836,261.80133056640625,196.80999755859375
2023-02-08,149.80723571777344,100.05000305175781,99.3203125,260.9892578125,201.2899932861328
